8/6 19:45:53.036  SPELL_DAMAGE,0xF1300010CA000006,"Scarlet Defender",0xa48,0x0000000000011FEC,"Artichoke",0x512,2101729,"Devastate",0x1,137,0,1,0,0,0,nil,nil,nil
8/6 19:45:53.036  SPELL_AURA_APPLIED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000006,"Scarlet Defender",0xa48,6136,"Chilled",0x10,DEBUFF
8/6 19:45:53.077  SPELL_AURA_APPLIED,0xF1300010CA000001,"Scarlet Defender",0xa48,0x0000000000011FEC,"Artichoke",0x512,2101798,"Sunder Armor",0x1,DEBUFF
8/6 19:45:53.130  SPELL_CAST_START,0xF1300010CA000001,"Scarlet Defender",0xa48,0x0000000000000000,nil,0x80000000,2101732,"Shield Bash",0x1
8/6 19:45:53.130  SPELL_CAST_START,0xF1300010CA000006,"Scarlet Defender",0xa48,0x0000000000000000,nil,0x80000000,2101732,"Shield Bash",0x1
8/6 19:45:53.428  SPELL_CAST_SUCCESS,0x000000000000BE9C,"Heypal",0x512,0x0000000000011FEC,"Artichoke",0x512,10901,"Power Word: Shield",0x2
8/6 19:45:53.428  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x0000000000011FEC,"Artichoke",0x512,10901,"Power Word: Shield",0x2,BUFF
8/6 19:45:53.428  SPELL_AURA_APPLIED,0x000000000000BE9C,"Heypal",0x512,0x0000000000011FEC,"Artichoke",0x512,6788,"Weakened Soul",0x2,DEBUFF
8/6 19:45:53.588  SPELL_CAST_SUCCESS,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,10157,"Arcane Intellect",0x40
8/6 19:45:53.588  SPELL_AURA_REMOVED,0x00000000000115C2,"Baconbish",0x512,0x00000000000058E4,"Elric",0x511,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_REMOVED,0x00000000000115C2,"Baconbish",0x512,0x0000000000000C1F,"Influx",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_REMOVED,0x00000000000115C2,"Baconbish",0x512,0x00000000000115C2,"Baconbish",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_REMOVED,0x00000000000115C2,"Baconbish",0x512,0x000000000000BE9C,"Heypal",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_REMOVED,0x00000000000115C2,"Baconbish",0x512,0x0000000000011FEC,"Artichoke",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x0000000000011FEC,"Artichoke",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_PERIODIC_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,20924,"Consecration",0x2,78,0,2,8,0,0,nil,nil,nil
8/6 19:45:53.588  SPELL_PERIODIC_DAMAGE,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000006,"Scarlet Defender",0xa48,20924,"Consecration",0x2,86,0,2,0,0,0,nil,nil,nil
8/6 19:45:53.588  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000115C2,"Baconbish",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x0000000000000C1F,"Influx",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x000000000000BE9C,"Heypal",0x512,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:53.588  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,10157,"Arcane Intellect",0x40,BUFF
8/6 19:45:54.446  SPELL_AURA_REMOVED,0x00000000000115C2,"Baconbish",0x512,0x00000000000115C2,"Baconbish",0x512,44401,"Missile Barrage",0x40,BUFF
8/6 19:45:54.579  SPELL_AURA_REMOVED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,20924,"Consecration",0x2,DEBUFF
8/6 19:45:54.579  SPELL_AURA_REMOVED,0x0000000000011FEC,"Artichoke",0x512,0xF1300010CA000006,"Scarlet Defender",0xa48,20924,"Consecration",0x2,DEBUFF
8/6 19:45:54.631  SPELL_MISSED,0xF1300010CA000001,"Scarlet Defender",0xa48,0x0000000000011FEC,"Artichoke",0x512,2101732,"Shield Bash",0x1,ABSORB,39
8/6 19:45:54.631  SPELL_CAST_SUCCESS,0xF1300010CA000006,"Scarlet Defender",0xa48,0x0000000000000000,nil,0x80000000,2100430,"Shield Block",0x1
8/6 19:45:54.681  SPELL_AURA_REFRESH,0x000000000000BE9C,"Heypal",0x512,0x0000000000011FEC,"Artichoke",0x512,10901,"Power Word: Shield",0x2,BUFF
8/6 19:45:54.740  SPELL_AURA_APPLIED,0xF1300010CA000006,"Scarlet Defender",0xa48,0xF1300010CA000006,"Scarlet Defender",0xa48,2100430,"Shield Block",0x1,BUFF
8/6 19:45:54.837  SPELL_CAST_SUCCESS,0xF1300010CA000001,"Scarlet Defender",0xa48,0x0000000000000000,nil,0x80000000,2100430,"Shield Block",0x1
8/6 19:45:54.930  SPELL_AURA_APPLIED,0xF1300010CA000001,"Scarlet Defender",0xa48,0xF1300010CA000001,"Scarlet Defender",0xa48,2100430,"Shield Block",0x1,BUFF
8/6 19:45:55.645  SPELL_PERIODIC_DAMAGE,0x00000000000115C2,"Baconbish",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,9835,"Moonfire",0x40,155,0,64,0,0,0,nil,nil,nil
8/6 19:45:55.645  SPELL_DAMAGE,0x00000000000115C2,"Baconbish",0x512,0xF1300010CA000001,"Scarlet Defender",0xa48,274600,"Gunslingers Barrage",0x1,137,0,1,0,0,0,nil,nil,nil
