8/6 21:34:19.842  SPELL_AURA_REMOVED,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284790,"Absolute Hellfire",0x1,DEBUFF
8/6 21:34:19.842  SPELL_AURA_REMOVED,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,284790,"Absolute Hellfire",0x1,DEBUFF
8/6 21:34:19.842  SPELL_AURA_REMOVED,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,284790,"Absolute Hellfire",0x1,DEBUFF
8/6 21:34:19.842  SPELL_AURA_REMOVED,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,284790,"Absolute Hellfire",0x1,DEBUFF
8/6 21:34:19.842  SPELL_CAST_START,0xF1300286F400000F,"Fire Eater",0xa18,0x0000000000000000,nil,0x80000000,255791,"Flame Breath",0x4
8/6 21:34:19.842  SPELL_CAST_START,0xF1300286F400000E,"Fire Eater",0xa18,0x0000000000000000,nil,0x80000000,255791,"Flame Breath",0x4
8/6 21:34:19.842  SPELL_CAST_START,0xF1300286F400000A,"Fire Eater",0xa18,0x0000000000000000,nil,0x80000000,255791,"Flame Breath",0x4
8/6 21:34:19.862  SPELL_CAST_SUCCESS,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,907284,"Voidbound Cleave",0x21
8/6 21:34:19.862  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,907284,"Voidbound Cleave",0x21,719,0,32,0,0,0,nil,nil,nil
8/6 21:34:19.862  SPELL_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,179,0,36,0,0,0,nil,nil,nil
8/6 21:34:19.862  SWING_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,140,0,1,0,0,0,nil,nil,nil
8/6 21:34:19.862  SPELL_ENERGIZE,0x00000000000000EB,"Aliantha",0x518,0x00000000000000EB,"Aliantha",0x518,35548,"Combat Potency",0x1,5,3
